detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
neutral,positive,[],"[bardzo, dobre, żelazko, świetnie, prasuje, szybko, się, nagrzewa, polecam]",5.0,0.0,"Bardzo dobre żelazko, świetnie prasuje, szybko się nagrzewa, polecam.",9.0,9.0,0.0
positive,positive,"[długi, kabel, odpowiedni, mocny, wyrzut, ładny, prezent, gorąco]","[żelazko, godne, polecenia, bardzo, dobra, cena, a, długi, 3metrowy, kabel, jest, dodatkowym, atutem, odpowiedni, ciężar, ułatwia, prasowanie, mocny, wyrzut, pary, bardzo, ładny, design, po, sprawdzeniu, jednego, kupiłam, drugie, na, prezent, naprawdę, gorąco, polecam]",5.0,0.017676767676767676,"Żelazko godne polecenia, bardzo dobra cena, a długi 3-metrowy kabel jest dodatkowym atutem. Odpowiedni ciężar ułatwia prasowanie. Mocny wyrzut pary. Bardzo ładny design. 
Po sprawdzeniu jednego kupiłam drugie na prezent. Naprawdę gorąco polecam!",33.0,33.0,8.0
neutral,positive,[],"[super, zelazko, mocne, szybko, sie, nagrzewa, goraco, polecam]",5.0,0.0,"Super zelazko. Mocne, szybko sie nagrzewa. Goraco polecam!!",8.0,8.0,0.0
positive,positive,[doskonały],"[doskonały, produkt, za, stosunkowo, niedużą, kwotę]",4.0,0.19999999999999998,Doskonały produkt za stosunkowo niedużą kwotę.,6.0,6.0,1.0
negative,negative,"[raz, kolejny, koniec, cały, nim]","[pod, wpływem, opinii, jakie, to, żelazko, jest, wspaniałe, kupiłam, je, nie, całe, 3, lata, temu, i, dzisiaj, poszło, już, w, niepamięć, po, raz, kolejny, zawiodłam, się, na, sprzęcie, philipsa, najpierw, odkurzacz, koniec, gwarancji, nie, cały, rok, blender, odtwarzacz, a, teraz, żelazko, chyba, najdłużej, wytrzymało, mogłoby, się, nim, wygodniej, prasować, koszulę, odstępy, pomiędzy, guzikami, mankiety]",3.0,-0.06790123456790123,"Pod wpływem opinii jakie to żelazko jest wspaniałe kupiłam je nie całe 3 lata temu i dzisiaj poszło już w niepamięć. Po raz kolejny zawiodłam się na sprzęcie Philipsa (najpierw odkurzacz, koniec gwarancji, nie cały rok blender, odtwarzacz, a teraz żelazko chyba najdłużej wytrzymało).

Mogłoby się nim wygodniej prasować koszulę, odstępy pomiędzy guzikami, mankiety.",54.0,54.0,5.0
negative,positive,"[nic, kabel, długi]","[żelazko, świetne, gdy, kupiłam, myślałam, że, będzie, jednak, za, ciężkie, ale, już, przy, pierwszym, prasowaniu, okazało, sięże, nic, podobnego, prasuje, na, listeczek, paruje, pięknie, kabel, mega, długi, dzióbek, wjeżdża, nawet, w, najmniejsze, zakamarki, ubrań, polecam, z, pełnym, przekonaniem]",5.0,-0.05263157894736842,"Żelazko świetne. Gdy kupiłam, myślałam, że będzie jednak za ciężkie, ale już przy pierwszym prasowaniu okazało się,że nic podobnego. Prasuje na listeczek, paruje pięknie, kabel mega długi, dzióbek wjeżdża nawet w najmniejsze zakamarki ubrań. Polecam z pełnym przekonaniem!!",38.0,38.0,3.0
neutral,positive,"[nim, długi, kabel, możliwość]","[super, żelazkoprasowanie, nim, to, naprawde, przyjemnośćma, długi, kabel, i, możliwość, regulacji, paryszybko, się, nagrzewaw, pierwszym, momencie, gdy, wzięłam, je, do, ręki, wydało, mi, się, ciut, za, cieżkieale, wątpliwości, mineły, podczas, prasowania]",4.0,0.0,"Super żelazko.Prasowanie nim to naprawde przyjemność.Ma długi kabel i możliwość regulacji pary,szybko się nagrzewa.W pierwszym momencie gdy wzięłam je do ręki wydało mi się ciut za cieżkie,ale wątpliwości mineły podczas prasowania.",31.0,31.0,4.0
negative,negative,"[go, koniec, problem, para]","[użytkuję, żelazko, ok5, lat, niestety, ale, z, perspektywy, czasu, nie, poleciłabym, go, pod, koniec, gwarancji, żelazko, było, w, serwisie, ponieważ, nie, wytwarzało, pary, oraz, przycisk, wyrzutu, pary, nie, odbijał, do, pozycji, wyjściowej, niestety, problem, notorycznie, się, powtarza, ponieważ, przycisk, znowu, nie, odbija, jest, to, chyba, część, której, termin, przydatności, to, ok2, lat, para, z, żelazka, pomimo, czyszczenia, idzie, słabo, i, ubrań, nie, da, się, idealnie, wyprasować]",2.0,-0.045454545454545456,"Użytkuję żelazko ok.5 lat. Niestety, ale z perspektywy czasu nie poleciłabym go. Pod koniec gwarancji żelazko było w serwisie, ponieważ nie wytwarzało pary oraz przycisk wyrzutu pary nie odbijał do pozycji wyjściowej. Niestety problem notorycznie się powtarza, ponieważ przycisk znowu nie odbija. Jest to chyba część, której termin przydatności to ok.2 lat... Para z żelazka, pomimo czyszczenia, idzie słabo i ubrań nie da się idealnie wyprasować.",66.0,66.0,4.0
neutral,positive,[],"[super, urządzenie]",5.0,0.0,Super urządzenie,2.0,2.0,0.0
neutral,positive,[],"[działa, jak, powinno]",4.0,0.0,działa jak powinno,3.0,3.0,0.0
neutral,positive,[żona],"[żelazko, dla, mnie, bardzo, dobre, choć, żona, twierdzi, że, mogłoby, mieć, grubszą, stopę]",4.0,0.0,"Żelazko dla mnie bardzo dobre, choć żona twierdzi, że mogłoby mieć grubszą stopę.",13.0,13.0,1.0
neutral,positive,[],"[bardzo, dobre, żelazko, szybko, się, nagrzewa, i, dobrze, prasuje, polecam]",5.0,0.0,Bardzo dobre  żelazko. Szybko się nagrzewa i dobrze prasuje. Polecam!,10.0,10.0,0.0
negative,positive,[nic],"[spełnił, moje, oczekiwania, za, tą, cene, nic, lepszego]",5.0,-0.25,Spełnił moje oczekiwania. Za tą cene nic lepszego.,8.0,8.0,1.0
negative,positive,"[razy, długi, para, bez]","[zaznaczam, że, zelazka, używałam, dotąd, 2, razy, ale, narazie, sądze, że, jest, bardzo, fajne, stopa, czasem, ciężko, sunie, po, materiale, ale, nie, jest, to, jakąś, dużą, wadą, mega, szybko, się, nagrzewa, dla, mnie, zaletą, jest, długi, sznur, para, działa, bez, zarzutu, i, dobrze, prasuje, nawet, bardzo, grubą, bawełnę]",4.0,-0.041666666666666664,"Zaznaczam, że zelazka używałam dotąd 2 razy ale narazie sądze, że jest bardzo fajne. Stopa czasem ciężko sunie po materiale ale nie jest to jakąś dużą wadą. Mega szybko się nagrzewa, dla mnie zaletą jest długi sznur, para działa bez zarzutu i dobrze prasuje nawet bardzo grubą bawełnę.",48.0,48.0,4.0
neutral,positive,[],"[ok, ale, trochę, ciężkie]",4.0,0.0,"OK, ale trochę ciężkie",4.0,4.0,0.0
neutral,positive,"[ten, sam]","[wybralam, to, zelazko, 3, lata, temu, i, sprawuje, sie, bardzo, dobrze, teraz, kupilam, ten, sam, model, mojej, mamie]",4.0,0.0,Wybralam to zelazko 3 lata temu i sprawuje sie bardzo dobrze. Teraz kupilam ten sam model mojej mamie.,18.0,18.0,2.0
neutral,positive,[],"[bardzo, fajne, żelazko, brak, pojemniczka, do, wlewania, wody, wcale, nie, jest, minusem, można, spokojnie, sobie, poradzić, wlewając, z, butelki, dzięki, dużemu, otworowi, w, żelazku, szybko, się, nagrzewa, ma, funkcje, eco, przy, prasowaniu, za, pomocą, pary, polecam, w, 100]",5.0,0.0,"Bardzo fajne żelazko, brak pojemniczka do wlewania wody wcale nie jest minusem, można spokojnie sobie poradzić wlewając z butelki dzięki dużemu otworowi w żelazku. Szybko się nagrzewa, ma funkcje eco przy prasowaniu za pomocą pary.
Polecam w 100%.",38.0,38.0,0.0
negative,positive,[lekko],"[polecam, żelazko, choć, regulator, temp, wg, mnie, za, lekko, zmienia, swoje, ustawienie]",4.0,-0.08333333333333333,Polecam żelazko choć regulator temp wg mnie za lekko zmienia swoje ustawienie,12.0,12.0,1.0
neutral,positive,"[długi, kabel, gładko]","[super, szybkie, nagrzewanie, długi, kabel, super, dodatkowa, parasuper, końcówka, stożka, parowego, gładko, przesuwa, się, po, tkaninie, nieco, hałaśliwe]",5.0,0.0,"Super szybkie nagrzewanie, długi kabel super dodatkowa para,super końcówka stożka parowego, gładko przesuwa się po tkaninie. Nieco hałaśliwe.",18.0,18.0,3.0
neutral,positive,"[konstrukcja, kabel]","[polecam, super, żelazko, dużo, funkcji, dobrze, prasuje, wygodne, prasowanie, z, parą, solidna, konstrukcja, spód, żelazka, i, kabel, widać, że, są, dobrze, wykonane, i, raczej, żelazko, długo, będzie, służyć]",5.0,0.0,"POLECAM!!! Super żelazko! Dużo funkcji, dobrze prasuje, wygodne prasowanie z parą, solidna konstrukcja, spód żelazka i kabel widać że są dobrze wykonane i raczej żelazko długo będzie służyć :)",29.0,28.0,2.0
positive,positive,"[uderzenie, przyjemność]","[żelazko, bardzo, dobrze, prasuje, szybko, się, nagrzewa, ma, duże, uderzenie, pary, prasuje, największe, zagnieceniaprzód, żelazka, jest, bardzo, dobrze, wyprofilowany, co, pozwala, na, wyprasowanie, naewt, najmniejszych, zakamarków, prasowanie, teraz, to, przyjemność]",5.0,0.04666666666666666,"Żelazko bardzo dobrze prasuje. Szybko się nagrzewa, ma duże uderzenie pary. Prasuje największe zagniecenia.Przód żelazka jest bardzo dobrze wyprofilowany co pozwala na wyprasowanie naewt najmniejszych zakamarków. Prasowanie teraz to przyjemność.",30.0,30.0,2.0
neutral,positive,[],"[cena, do, jakości, naprawdę, bardzo, dobra]",4.0,0.0,Cena do jakości naprawdę bardzo dobra.,6.0,6.0,0.0
positive,negative,"[potrzeba, plus, ja]","[zelasko, ladne, jak, zelasko, wszystko, chyba, ok, w, instrukcji, pisze, nawet, ze, nie, potrzeba, uzywac, wody, destylowanej, to, tez, jest, jakis, plus, ale, ma, jednak, jedna, olbrzymia, wade, niestety, nie, prasuje, samo, a, ja, nie, nawidze, prasowania, pozdrawiam, wszystkich, ktorzy, dzieki, philipsowi, odkryli, swa, pasje, do, prasowania]",3.0,0.02127659574468085,"Zelasko ladne, jak zelasko, wszystko chyba ok.
 W instrukcji pisze nawet ze nie potrzeba uzywac wody destylowanej , to tez jest jakis plus ale ma jednak jedna olbrzymia wade, niestety nie prasuje samo a ja nie nawidze prasowania.
Pozdrawiam wszystkich ktorzy  dzieki philipsowi odkryli swa pasje do prasowania  :-)))",49.0,47.0,3.0
neutral,positive,"[sam, prezent]","[super, żelazko, sam, posiadam, w, domu, takie, to, zostało, kupione, na, prezent]",5.0,0.0,"Super żelazko, sam posiadam w domu takie, to zostało kupione na prezent.",12.0,12.0,2.0
neutral,positive,[],"[rewelacyjne, żelazko, za, bardzo, dobrą, cenę]",5.0,0.0,Rewelacyjne żelazko za bardzo dobrą cenę.,6.0,6.0,0.0
neutral,positive,[powrót],"[super, żelazko, w, dobrej, cenie, z, długim, 3, metrowym, kablem, zasilającym, poręczne, z, dobrym, wyrzutem, pary, powrót, do, marki, philips, po, kilkuletniej, przerwie, jak, się, okazało, bardzo, męczącej, z, inną, marką]",4.0,0.0,"super żelazko w dobrej cenie z długim 3 metrowym kablem zasilającym, poręczne, z dobrym wyrzutem pary. Powrót do marki Philips po kilkuletniej przerwie jak się okazało bardzo męczącej z inną marką",31.0,31.0,1.0
neutral,positive,"[długi, kabel]","[doskonale, prasuje, długi, kabel, polecam]",5.0,0.0,"doskonale prasuje, długi kabel, POLECAM",5.0,5.0,2.0
positive,positive,[świetny],"[używam, dopiero, od, 3, miesięcy, i, jestem, bardzo, zadowolona, moja, znajoma, też, ostatnio, mówiła, że, jest, świetny]",5.0,0.11764705882352941,"Używam dopiero od 3 miesięcy i jestem bardzo zadowolona, moja znajoma też ostatnio mówiła, że jest świetny",17.0,17.0,1.0
negative,positive,"[długi, duży, fajny, ostry, gorąco]","[po, 2, tygodniach, użytkowania, muszę, powiedzieć, że, na, te, chwile, jestem, bardzo, zadowolona, żelazko, ma, bardzo, długi, kabel3m, co, jest, bardzo, wygodne, na, kablu, rzep, co, ułatwia, przechowywanie, żelazka, duży, pojemnik, na, wodę, co, jest, bardzo, fajne, bo, nie, trzeba, cięgle, dolewać, wody, przy, większym, prasowaniu, fajny, dzióbek, żelazka, ostry, co, ułatwia, dostanie, się, do, trudno, dostępnych, miejsc, i, dokładniejsze, prasowanie, dobrze, grzeje, wygląd, też, jest, ok, w, sumie, dla, mnie, żelazko, nie, musi, być, ładne, cena, tez, była, przystępna, gorąco, polecam, na, razie, nie, zauważyłam, wad]",5.0,-0.006704980842911878,"Po 2 tygodniach użytkowania muszę powiedzieć, że na te chwile jestem bardzo zadowolona. Żelazko ma bardzo długi kabel-3m co jest bardzo wygodne. Na kablu rzep co ułatwia przechowywanie żelazka. Duży pojemnik na wodę, co jest bardzo fajne bo nie trzeba cięgle dolewać wody przy większym prasowaniu. Fajny 'dzióbek' żelazka (ostry), co ułatwia dostanie się do trudno dostępnych miejsc i dokładniejsze prasowanie. Dobrze grzeje. Wygląd też jest ok. w sumie dla mnie żelazko nie musi być ładne;) Cena tez była przystępna. Gorąco polecam. Na razie nie zauważyłam wad.",87.0,87.0,5.0
neutral,positive,[],"[godne, polecenia]",5.0,0.0,godne polecenia.,2.0,2.0,0.0
neutral,positive,[prezent],"[trudno, mi, jest, zaopiniowacponiewaz, produkt, był, przeznaczony, na, prezent]",4.0,0.0,"trudno mi jest zaopiniowac,poniewaz produkt był przeznaczony na prezent",9.0,9.0,1.0
negative,positive,"[długi, przewód, fakt, zbyt, lekko, duży, problem]","[za, tę, cenę, super, żelazko, ładnie, prasuje, ubrania, nie, pryska, parą, długi, przewód, ładne, wykonania, jedyne, co, mnie, troszke, denerwuje, to, fakt, że, pokrętło, chodzi, trochę, zbyt, lekko, jest, też, trochę, naćkane, w, opisie, przy, mocy, 13, ale, to, nie, jest, duży, problem, w, miarę, cieżkie, dzięki, czemu, stabilne]",5.0,-0.04421768707482994,"Za tę cenę super żelazko, ładnie prasuje ubrania, nie pryska parą, długi przewód, ładne wykonania. Jedyne co mnie troszke denerwuje to fakt, że pokrętło chodzi trochę zbyt lekko, jest też trochę naćkane w opisie przy mocy 1-3, ale to nie jest duży problem. W miarę cieżkie, dzięki czemu stabilne.",49.0,49.0,7.0
positive,positive,"[ogromny, plus, długi, kabel]","[kiedyś, kupiłam, to, żelazko, mamie, jest, bardzo, zadowolona, użytkuje, już, kilka, lat, na, ogromny, plus, stopa, żelazka, i, długi, kabel]",5.0,0.016666666666666666,Kiedyś kupiłam to żelazko mamie. Jest bardzo zadowolona. Użytkuje już kilka lat. Na ogromny plus stopa żelazka i długi kabel,20.0,20.0,4.0
neutral,positive,[bez],"[dobrze, prasuje, bez, większego, wysiłku, właściwości, zgodne, ze, specyfikacją, producenta]",4.0,0.0,Dobrze prasuje bez większego wysiłku. Właściwości zgodne ze specyfikacją producenta.,10.0,10.0,1.0
neutral,positive,[],"[relacja, ceny, do, jakości]",4.0,0.0,Relacja ceny = do jakości,5.0,4.0,0.0
neutral,positive,[],"[dobrze, prasuje]",4.0,0.0,Dobrze prasuje.,2.0,2.0,0.0
neutral,positive,[],"[wszystko, ok, polecam]",5.0,0.0,Wszystko Ok. Polecam,3.0,3.0,0.0
neutral,positive,[para],"[super, jestem, zachwycona, świetnie, prasuje, para, ok, lekkie, i, disajnerski, wygląd]",4.0,0.0,"super. Jestem zachwycona. Świetnie prasuje, para ok. Lekkie i disajnerski wygląd.",11.0,11.0,1.0
neutral,positive,[],"[żelazko, jak, najbardziej, w, porządku, solidne, w, miarę, tanie, jak, na, swoją, jakość, funkcjonalne]",4.0,0.0,"Żelazko jak najbardziej w porządku - solidne, w miarę tanie jak na swoją jakość, funkcjonalne.",15.0,14.0,0.0
neutral,positive,[],"[świetne, żelazko, bardzo, szybko, się, nagrzewa, najlepsze, jakie, miałam, do, tej, pory]",5.0,0.0,"Świetne żelazko, bardzo szybko się nagrzewa. Najlepsze, jakie miałam do tej pory.",12.0,12.0,0.0
neutral,positive,[nim],"[dobrze, wykonane, łatwo, się, nim, prasuje]",5.0,0.0,"Dobrze wykonane, łatwo się nim prasuje.",6.0,6.0,1.0
neutral,positive,[],"[mialam, zelazka, roznych, marek, ale, to, jest, prawdziwe, zelazko]",5.0,0.0,Mialam zelazka roznych marek Ale to jest PRAWDZIWE zelazko,9.0,9.0,0.0
negative,positive,[lekko],"[żelazko, w, 100, spełniło, moje, oczekiwania, precyzyjnie, i, szybko, rozprasowuje, zagniecenia, oraz, przestrzenie, między, guzikami, szybko, osiąga, odpowiednią, temperaturę, prasowania, stopa, żelazka, lekko, ""płynie"", po, różnego, rodzaju, materiałach, łatwe, w, obsłudze, i, o, estetycznym, wyglądzie, w, stosunku, do, ceny, jakość, na, najwyższym, poziomie, polecam, w, 100]",5.0,-0.021739130434782608,"Żelazko w 100% spełniło moje oczekiwania. Precyzyjnie i szybko rozprasowuje zagniecenia, oraz przestrzenie między guzikami. Szybko osiąga odpowiednią temperaturę prasowania. Stopa żelazka lekko ""płynie"" po różnego rodzaju materiałach. Łatwe w obsłudze i o estetycznym wyglądzie. W stosunku do ceny jakość na najwyższym poziomie. Polecam w 100%.",46.0,46.0,1.0
positive,positive,"[solidny, wada]","[produkt, solidny, wada, to, niewidoczny, poziom, wody, w, zbiorniku]",4.0,0.05555555555555555,"Produkt solidny,  wada to niewidoczny poziom wody w zbiorniku",9.0,9.0,2.0
positive,positive,"[nim, cały, czas]","[super, żelazko, świetnie, się, nim, prasuje, można, ustawić, parę, na, odpowiednią, intensywność, i, żelazko, cały, czas, prasuje, na, parze, polecam]",5.0,0.016666666666666666,Super żelazko. Świetnie się nim prasuje. Można ustawić parę na odpowiednią intensywność i żelazko cały czas prasuje na parze. Polecam,20.0,20.0,3.0
negative,positive,"[raz, mąż]","[super, żelazko, fajnie, sunie, po, materiałach, prasuje, się, szybko, i, wygodnie, nie, wymienię, już, producenta, philips, na, inną, markę, zrobiłam, to, raz, i, bardzo, żałuję, nawet, mąż, z, chęcią, prasuje, polecam]",5.0,-0.03225806451612903,Super żelazko. Fajnie sunie po materiałach. Prasuje się szybko i wygodnie. Nie wymienię już producenta philips na inną markę. Zrobiłam to raz i bardzo żałuję. Nawet mąż z chęcią prasuje. POLECAM!!!,31.0,31.0,2.0
negative,positive,[uderzenie],"[prasuje, idealnie, szybko, silne, uderzenie, pary, rozprasowuje, zagniecenia, super, żelazko]",5.0,-0.06,"prasuje idealnie szybko silne uderzenie pary rozprasowuje zagniecenia. super żelazko ,",11.0,10.0,1.0
