comment,emotion,rate
"Jestem mile zaskoczona.Nasłuchałam się tylu niepochlebnych opinii na temat tego filmu, że całkowicie straciłam ochotę na obejrzenie go. Wczoraj jednak w końcu się na to zdecydowałam, aby zobaczyć czy jest to rzeczywiście ""ścierwo nie do obejrzenia"". Jestem pozytywnie zaskoczona. Film był treściwy, sceny nie były wydłużane, a ja nie zerkałam co chwilę na zegarek aby sprawdzić kiedy to w końcu się skończy. Od razu ...",positive,7
Jaki utwór Grey gra na fortepianie?Znam go bardzo dobrze ale nie pamiętam jak się nazywa.,positive,6
Film Za mało Złotych Malin.,negative,1
"Hmm... budżet: 40 000 000 $Wie ktoś może, co w tym badziewiu mogło kosztować aż 40 milionów dolarów amerykańskich?!",negative,1
"dno i nudaJeden z najgorszych filmów jakie widziałem ostatnimi laty. Przede wszystkim nudny potwornie, dłużyzny, niczemu nie służące sceny i ujęcia. To co miało podniecać śmieszy. To co miało wzruszać wywołuje jedynie wzruszenie ramion.Historia kompletnie oderwana od rzeczywistości, naiwna i wyglądająca na wizję ośmiolatka który podglądał raz przez 30 sekund co rodzice robią w sypialni. Gdyby nie marketing to pies z ...",negative,2
"szału nie ma, panieNudny, wtorny, niebezpieczny dla młodych dziewcząt z niepoukładanymi wartościami. I nie wiem jak mozna dac tu 10/10, film nie zasłuzył na wysokie noty. Historia jest naiwna, ale naiwnych ludzi nie brakuje na świecie. A za naiwnosc sie płaci (zycie zna takie historie kiedy silny i pociagajacy samiec alfa czasem przygrzmoci naszej romantyczce lub zostawi bidulę z brzuchem i dalej poleci rozsiewac ...",negative,3
"Połączenie komedii romantycznej z soft porno.Film dosłownie wieje beznadzieją, nie doszukałem się żadnych pozytywnych aspektów. Postacie grane sztywno, schematycznie, jakby rodem wyjęte z licealnego koła teatralnego. Dialogi nadają się raczej bardziej do taniego porno, niż produkcji kinowej, a cała historia jest odrealniona. Film dla zagubionych, średnio inteligentnych kobiet, które marzą o byciu zniewolonym.",negative,1
"Idealny film dla krytyków, bo krytykować można w nim wszystko.Nie ulegam opiniom i wyrabiam sobie zdanie dopiero po obejrzeniu filmu. Chyba nigdy nie żałowałam tak spędzonych dwóch godzin. Gra aktorska? Ciężko mówić o czymś, czego nie było. Główni aktorzy wyłonieni chyba przez niewidomego. Zero emocji, przekazu treści. Nie spodziewałam się górnolotnego seansu, ale naprawdę film można było zrobić o wiele, WIELE ...",negative,2
"Chciałabym odzobaczyćfilm totalna klapa. Mam wrażenie, że o niczym, zwłaszcza w momencie, w którym się zakończył. Brak dokładnych wyjaśnień o co właściwie chodzi. Gra aktorska i teksty tak drętwe, że z trudem się ogląda. Po za tym aktor, który gra to ""mega-hiper-super ciacho"".. wygląda jak chłopiec.",negative,1
"PłytkiOdradzam stanowczo, film bez głębszego przesłania. Nie ratuje go nawet przyzwoita muzyka. Kiepskie dialogi, brak klimatu, nuda ...",negative,3
"Film ładnie zrobiony Nie rozumiem tylu negatywnych opinii na temat tego filmu, że soft porno, że dla gimbusów bądź niewyżytych kur domowych. Film jest na podstawie książki, taka już jest ta historia, taką ją autorka napisała więc w filmie jest trochę seksu, ciężko żeby go nie było w filmie o właśnie takiej tematyce. Ponadto idąc do kina chyba każdy wie o czym jest ten film, więc jak komuś nie pasuje to niech na niego ...",positive,8
"Jakie czasy ... taka podnieta...Cóż... Trudno oceniać to coś co nie zasługuje na miano filmu, no chyba, że znajdziemy jakąś nową kategorię - bo ani to porno.... ani romans. Jakie to straszne czasy, że ludzie uznają za ciekawe bicie kobiet... i traktowanie ich jak przedmiot - no i jeszcze dorabiają do tego historię...",negative,2
"rzadko się zdarza                        Rzadko się zdarza, że żałuję, że jakiś film obejrzałam. W tym wypadku niestety żałuje. Poza ładnymi meblami i dobrą muzyką, w filmie nie było nic interesującego              ",negative,2
"Po przeczytaniu książki                         Przeczytałam książkę i jak ona mnie nie powaliła na kolana ale była nawet do poczytania, tak w filmie większość treści została okrojona, dosyć mocno okrojona przez co film z minuty na minutę coraz bardziej zawodzi i przychyla mnie raczej ku opinii, że jest SŁABY.              ",negative,2
"Nieporozumienie                        Porownywanie tego filmu z erotykiem to jakby porownywac porno do sztuki. I choc o gustach sie nie dyskutuje, to jednak mocno dziwi, ze niektorzy potrafia postawic tu nawet 9 czy 10 gwiazdek              ",negative,1
"Kaszana                        Czy zna ktoś gorsze filmy od tego? Niesamowicie mnie to ciekawi, czy da się znaleźć większego gniota w historii kinematografii.Gra aktorska naprawdę rewelacyjna! Jest idealna dla osób, które mają problemy z zaparciami. Po filmie natychmiastowo ma się ochotę iść do toalety i oczyścić swój organizm. Świetne dialogi- podczas oglądania zastanawiasz się, czy płakać o stracony czas, czy śmiać się z ...              ",negative,1
"Książka o wiele lepsza                        Książka jest o wiele lepsza. Przeczytałem najpierw książkę, potem  poszedłem do kina na premierę. Zawiodłem się totalnie.               ",positive,7
ludzie                          co to porno czy  co              ,negative,4
"Dostalem                        erekcji patrzac jak sie prezy corcia Dona Johnsona, wiec dam 8 gwiazdek na ksztalt jej przeslicznego biustu. Grey to niezly psychopata i zboczuch, ale jest przystojny, wiec dziewczyny przymykaja na to oko i ida na calosc. Osobiscie mysle, ze ma cos z Tedka Bundiego tylko go ponosila fantazja ciut bardziej. Chrzescijanin Grey bedzie grzal panienki jeszcze w dwoch czesciach, wiec bedzie mozna poznac nowe ...              ",positive,7
"statystyki nie kłamia chyba kobiety sa mniej inteligentne od kobiet, jak mogło im sie to cos podobac?                        ebun i tak jest. Znajoma już mi opowiedziała, jak jej się własnie podobał ten ""bohater"", stwierdziła ""no ciacho taki wymarzony facet"". Tylko, ze ona tez nie jest idealna, kobiety sa dziwne, chyba jednak statystyki ktore przytacza Korwin się nie mylą, bo statystyki sie nie mylą, wiekszosc kobiet szuka płytkiej prostej ...              ",negative,1
"Film o facecie z problemami.                        Myślałam, że będzie gorszy a jednak to całkiem niezły film. Na szczęście nie chodzi w nim tylko o pokazanie mocno erotycznych scen, uff, a bałam się że tak będzie. A jednak film ma głębszy sens. Facet mający za sobą ciężkie dzieciństwo, boi się czułości, boi się dotyku, nie daje sobie prawa do dobrych uczuć. No i każe kobiety za te wszystkie swoje nieszczęśliwe przeżycia. Przyznam, że ...              ",positive,6
""" 50 twarzy Greya"" czyli dwie zmarnowane godziny.",negative,3
"Do sceny rozdziewiczania jeszcze jako tako, a potem to już tylko tani niemiecki erotyk z lat 80.                        1. Obleśni aktorzy! (aktorka nie goli nóg); 2. Miliarder, młody właściciel firmy telekomunikacyjnej - jasne. Generalnie film dla gimbazy.Do sceny rozdziewiczania jeszcze jako tako, a potem to już tylko tani niemiecki erotyk z lat 80.              ",negative,3
"K                        Fakt, że parodia jest wierniejszą adaptacją od faktycznej ""adaptacji"" mówi wszystko :}              ",negative,1
"Do zo bejbiczku...                        obejrzałam sobie właśnie wersję lektorską... matko święta! o ile sobie dobrze kojarzę słowa ""laters baby"" w wersji z napisami były przetłumaczona jako ""strzałka, mała"" ale bejbiczku... kto to tłumaczy!              ",positive,10
Tytuł kolejnej części...,negative,2
"Wymęczył mnie bardzo                        Nie dość, że relacja miedzy bohaterami przebiega w za szybkim tempie, to jeszcze była tak sztuczna, ze głowa aż boli. Aktorzy odgrywający postaci pasowali do siebie jak pięść do oka, zero chemii między nimi. Jedyny mały plus za aktora odgrywającego Greya, bo na ekranie prezentuje się lepiej niż na zdjęciach. Może gdyby dali inną aktorkę to byłoby choć trochę lepiej.               ",negative,2
2/10                        Jedyna dobra rzecz w tym filmie to muzyka. Reszta dno...              ,negative,2
"Smutna refleksja                        To smutne, lecz niektórzy odbiorcy sądzą, iż skoro nawóz służy do hodowli warzyw i owoców , tym samym musi być również zdatny do spożycia. Niestety kupa zawsze pozostanie kupą, choćbyśmy posypali ją szczypiorkiem i podali na porcelanowej zastawie.              ",negative,2
To coś będzie mieć kolejne części!?                        Jak długo 50 Twarzy Idioty będzie męczyć społeczeństwo swoim istnieniem!?              ,negative,1
"Uff                        Na szczęście dostał te maliny! I to prawie wszystkie. Chyba mamy do czynienia z pierwszym takim przypadkiem, gdy ""Grey"" zwycięża w najgorszej kategorii egzegezo z innym filmem.              ",negative,3
Złote Maliny Brawo!!!!                        Należały się i koniec!!!!!              ,negative,1
"Zasłużone ""malinki""                         ...              ",negative,3
Hę???,positive,6
"Panowie na luzie :)                        My mieliśmy swój Nagi Instynkt z boską Sharon, to niech teraz kobitki też coś mają z tego kina :D.               ",negative,4
"Uuuuu co za lipa                        Szum medialny wokół filmu przeogromny niestety ale prawda jest taka że twórcy kina potrafią nieźle zmanipulować widza, można nakręcić najgorsze dno z wodorostami a tak zbajerować ludzi że gnać będą do kina na złamanie karku w tym filmie jest wszystko co najgorsze mizerna gra aktorów, zero wyuzdanego sexu co w nim takiego kontrowersyjnego?? To już Nagi instynkt lub Fatalne zauroczenie czy też słynne ...              ",negative,2
"K                        A co jest najzabawniejsze? Że choć to pewniak na GRAF 2016, sprzedał się z 14 krotnym zyskiem, więc spełnił to samo zadanie, co książka. Mi osobiście bardzo spodobał się santrak, mógłbym go słuchać godzinami, czy to jako kołysanki, czy wręcz przeciwnie, bo jest bardzo piękny. Kto nie oglądał, ale czytał, niech nie nastawia się na XXX większe niż w większości epizodów 007. Kto obejrzał, a nie czytał, polecam, książka ...              ",negative,1
"Scenarzysta i aktorzy się nie wykazali                        Książki nie czytałem, więc jej nie będę oceniał. Poza tym- książka książką, a film filmem. Zdaje się, że nie tylko komentatorzy Filmweba o tym zapominają, zapomniał o tym bowiem sam scenarzysta i reżyser. To co - być może - sprawiło, że powieść stała się bestsellerem (zmysłowe opisy wyuzdanego seksu, reakcji i odczuć głównych bohaterów) w filmie przełożyło się na przydługie, ...              ",negative,3
"80 dni żółtych                        Papier jak widać wszystko zniesie, a czy kamera? Ciekawe kiedy powstanie ekranizacja tejże powieści.              ",positive,7
"Oceniajmy obiektywnie a nie na podstawie jak było w książce a jak w filmie                        Uważam, że Ci którzy krytykują i czytali książkę spodziewali się nie wiadomo jakiego filmu, że będzie to 100% książka zekranizowana. Wiadomo nie od dziś, że film nigdy nie był identyczny jak książki. Mnie się osobiście film podobał mimo, iż książkę przeczytałam 5 razy pod rząd ;) można by rzec, że jestem maniakiem. Być może i jestem maniakiem ...              ",positive,10
"Książka czy film?                        Książkę przeczytałam, ponieważ moja przyjaciółka gorąco mi ją polecała. Mówiąc szczerze męczyła mnie ona. Bohaterka była naprawdę irytująca i mogłoby się wydawać, że nie potrafi nic zrobić bez czyjejś pomocy. To taka moja subiektywna opinia. Poza tym często miałam wrażenie, że sama nie wie, czego chce. Grey też mnie jakoś szczególnie nie oczarował. Drugą część zaczęłam, ale skończyłam po dwóch ...              ",negative,4
"50 odcieni smutku                         Film całkowicie odbiega od książki. Jest chaotyczny, wątki są nieuporządkowane. Coś się zaczyna i nagle kończy, bez najmniejszego wyjaśnienia. Ktoś, kto nie czytał książki może mieć problem ze zrozumieniem co się dzieje albo w ogóle o co w nim chodzi. Myślę, że nawet ci, co ją czytali, mogą mieć z tym problem. Filmowi brakuje klimatu, tak jakby scenarzyści chcieli zrobić trochę tego, trochę tamtego, ...              ",negative,2
Głupia szmira ,negative,1
"Nierealistyczna Postać                        Facet który odnosi sukcesy, jest pewien siebie nie jest więźniem własnego umysłu a Grey niestety w tym filmie jest dewiantem.Nie potrafi stawić czoła przeszłości jest słaby psychicznie a jednocześnie jest przedstawiany jako Ironman.Film nie ma większego sensu w sumie można go traktować jako spektakl erotyczny z fabułą w tle.Czy jest to złe kino? Nie ponieważ dostarcza rozrywki. Niestety ...              ",neutral,5
"Jego kobiety                        W tym filmie jedno mnie dziwi. Christian ma 27lat w wieku 15 lat zostal rozdziewiczony i byl ""uleglym"" przez 6 lat czyli mial 21 lat jak sie uwolnil od Pani Robinson pozniej mial niby 15 kobiet ale ostatnia byla Laila dwa lata wczesniej czyli wychodzi na to ze w ciagu 4 lat mial az 15 ""uleglych"". Obrotny chlopak              ",positive,6
"oczekiwania spełnione                        spodziewałam się kiepskiego filmu, i to też dostałam. Kiepskie aktorstwo, para główna ani trochę seksowna. Ten film to soft porno dla znudzonych kur domowych i nastolatek z nadziejami na dokształcenie seksualne. Pfff...  film, zarówno jak i książka (co tylko przypuszczam, gdyż się nie torturowałam tak ""wartościowym dziełem literatury""), pokazują infantylną naiwność kobiet, które mają nadzieję, że ...              ",negative,4
"Wszystko, co miałobyć powiedziane o tym ""dziele"" już zostało, więc...                        ten film jest okropnie nudny. Okropnie.               ",negative,1
"SERIO?!                        TO ma ocenę 4,5... Obejrzałam ten film, chociaż po zwiastunie już uznałam, że jest słaby. Nie czytałam książki, dlatego nie wiem jaki jest w porównaniu z nią film, ale serio? Ten film nie zasługuje na ocenę wyższą niż 1. Jest strasznie słaby i naprawdę nie rozumiem dlaczego podoba się kobietom aż do tego stopnia. Podejrzewam, że niejeden film pornograficzny jest romantyczniejszy. Najchętniej wróciłabym do tego ...              ",negative,1
Dramat                         Ten film oficjalnie zostaje najgorszym filmem jaki w życiu widziałam. Daje 1 tylko za Christiana.              ,negative,1
"Czy czasem gł. bohater nie mówił, że był adoptowany?                        A potem raptem mama, tato, brat i siostra?               ",positive,6
Zniesmaczenie,negative,4
"Gdzie te 50 twarzy?                        Film fajny, ale zdecydowanie byłby lepszy, gdyby pan Dornan pokazał więcej, niż jedną z tych sławnych 50 twarzy. Facet przystojny, nie powiem, ale nie widać po nim żadnych emocji! A Grey'owi co chwilę przecież zmieniał się nastrój... Szkoda.               ",positive,7
"Po tysiąckroć wolę Pana Darcy'ego lub Pana Rochestera od Pana Greya                        I myślę, że jeden i drugi dałby lepszy popis w pokoju zabaw niż ten śmiszny wymoczek.              ",negative,2
"Wynudził mnie strasznie.                        OK zaczyna się standarowo dla romansideł. On i ona to kompletnie odmienne światy. On to bogaty multimilioner który w wieku 27 lat ma kilkadziesiąt milionów na koncie. (zabawne, że 33 latek gra 27 latka) udziela wywiadu cichej szarej myszce. Okazuje się, że każda kobieta w jego biurze jest ładniejsza od tej szarej myszki. Ale filmowemu Greyowi to właśnie ona najbardziej pasuje by dołączyć do ...              ",negative,3
"Nie rozumiem                        Przeczytałam tylko pierwsza część książki żeby w ogóle sprawdzić o co tyle hałasu. Z tego co pamiętam nigdy się tak nie uśmiałam na lekturze (dla brechtu naprawdę polecam). Ale dalej już nie czytałam z obaw, że mimo ubawu dostane raka. A co do filmów, serio o co chodzi hejterom? Czego sie spodziewaliście :)? Książka jest idiotyczna więc jaki miał niby być film. Mimo zwyczajnie głupiej i zajebiście ...              ",negative,4
"Dominująca kobieta, uległy mężczyzna!                        Ktoś już tu pisał o odwrotnej sytuacji. Nie wiem, dlaczego twierdził, że kobietom ten pomysł nie przypadłby go gustu? Dla mnie taka sytuacja byłaby o wiele bardziej podniecająca!  Czytając pierwszy tom cały czas zastanawiałam się nad zmianą miejsc. Co by było gdyby stroną dominującą była jakaś charyzmatyczna, seksowna i inteligentna kobieta. A ""uległym"" spokojny, nieco nieśmiały, ...              ",positive,6
"mini recenzja                        O ile szum towarzyszący ""Pięćdziesięciu twarzom Greya"" niebezpiecznie zbliżał się do poziomu najgłośniejszego wyemitowanego dźwięku na Ziemi, o tyle już pierwsze minuty filmu utwierdziły mnie w przekonaniu, że nie muszę się nigdzie ewakuować (ani też dokonywać rekonstrukcji swojego prywatnego top 10 filmów o miłości czy listy najlepszych aktorów). Pełna spokoju, przystąpiłam zatem do śledzenia historii ...              ",negative,3
